,Date,Tweet
103,2022-05-22 18:55:02+00:00,"Since Russia invaded Ukraine, The New York Times has been collecting evidence of brutalities. While many acts of war are disturbing, some — especially those that show disregard for the lives of civilians — may be war crimes under the Geneva Conventions. https://t.co/P42kF6cM3k"
104,2022-05-22 18:40:06+00:00,"White Sox Manager Tony La Russa didn’t mince words when asked what happened between Yankees third baseman Josh Donaldson and Chicago shortstop Tim Anderson on Saturday.

Donaldson, who is white, admitted to calling Anderson, who is Black, ""Jackie."" https://t.co/771Y9OuCfv https://t.co/HP3Nl0mjqY"
105,2022-05-22 18:30:11+00:00,"The Chinese expression ""mamahuhu"" became the writer Vanessa Hua's family’s motto for the haphazard nature of living on the margins, she writes in @NYTMag. https://t.co/zlYEVHljVu"
106,2022-05-22 18:25:07+00:00,"After a man from Conklin, N.Y., was charged with the mass killing at a Buffalo grocery store, the community where he grew up has been forced to wrestle with hard questions about how such hate could have percolated in one of their neighbors. https://t.co/71rvbLHqkv"
107,2022-05-22 17:55:02+00:00,"President Biden raised the alarm on Sunday about monkeypox, a viral infection that is fast spreading around the world and raising fears of another pandemic. He said the U.S. is working ""to figure out what we do and what vaccine may be available."" https://t.co/xhpkUwTjXi https://t.co/ZajrCNznnx"
108,2022-05-22 17:50:07+00:00,"In the early months of 2020, the number of people diagnosed with gonorrhea and syphilis declined. Subsequently, though, infection rates surged so much that by the end of the year, the case counts were 10% and 7% higher than in 2019. https://t.co/8OX3zYZJWz"
109,2022-05-22 17:41:26+00:00,"Manchester City wins the Premier League title in dramatic fashion, edging Liverpool by a point. https://t.co/Y2KHJAqjY0"
110,2022-05-22 17:40:04+00:00,"In a grim start to a long weekend in Canada, at least five people were killed and hundreds of thousands of customers remained without power after a line of thunderstorms cut a violent path across parts of Quebec and Ontario on Saturday. https://t.co/BuiuWPpQsr"
111,2022-05-22 17:32:30+00:00,"Breaking News: A man was shot and killed Sunday morning on a subway train in Lower Manhattan, police said. The victim was shot in the chest while riding a northbound Q train that was pulling into the Canal Street station. https://t.co/qlwtq4Ky0M"
112,2022-05-22 17:25:05+00:00,"Anna Moriah Wilson, a rising cycling star who was visiting Texas for a competition, was found shot dead in Austin this month. Police said Wilson and the suspect for her murder were romantically involved with the same man. https://t.co/BmlfTZmWZY"
113,2022-05-22 16:55:04+00:00,"In Opinion

Senator Mitt Romney writes in a guest essay that the threat of a nuclear strike from Russia must be considered: ""We should imagine the unimaginable, specifically how we would respond militarily and economically."" https://t.co/mD084z5urf"
114,2022-05-22 16:40:04+00:00,"""Good bones.""
""Create your dream house."" 
""For the discerning buyer.""

Putting the best face on a property in a few sentences requires finesse, but it’s not always clear what listing agents are getting at. Here's our real estate translation guide. https://t.co/TDgmCdB5at https://t.co/CQ61bE2ncG"
115,2022-05-22 16:25:08+00:00,"""I bought all the Victoria’s Secret there was.""

Baseball is full of superstitions and quirks. But few are as amusing or as aromatic as one that countless players engage in daily: dousing themselves in cologne or perfume before stepping onto the field. https://t.co/fdr183ikRS"
116,2022-05-22 16:10:05+00:00,"It would have made for a great story: The Boston Celtics appear to lose two stars to injury, only for both of them to return and lead a furious comeback. The Miami Heat weren’t trying to hear that. https://t.co/11uUuDuy13"
117,2022-05-22 15:55:05+00:00,"A failed state. An aid trap. The modern world’s first nation born of a slave revolt.

We just published an investigation on an overlooked part of history, examining what might have been — if Haiti had not been looted since its birth.

Here's what we found. https://t.co/otGMVrXggC"
