,tweetcreatedts,text,language,username
0,2022-01-05 23:56:24+00:00,"@nytimes Like in Belarus, Putin’s Russia is always eager to help any dictator killing his own citizens.",en,ATweeter00
1,2022-01-05 23:47:57+00:00,"@nytimes This is exactly what locals there don't want, what a mess.  Media sources like Nytimes don't want to publish what this really is, an uprising against tyranny and Russia has been illegally occupying this area for years.",en,Jeeves_BTC100k
2,2022-01-05 23:40:27+00:00,@nytimes Deos that mean that Russia has to delay the Ukraine invasion?,en,Erich1S
3,2022-01-05 23:38:36+00:00,@nytimes Boycott Russia,en,seacatspot
4,2022-01-05 23:34:34+00:00,"@nytimes ""Peacekeeping forces ..."" reminds me of the quote, that fighting for peace it's like f@g for virginity. Look what The eastern part of Ukraine, Abkhazia, the Pridnestrovian Moldavian Republic, etc was turned into by Russia.",en,JoraMastiff
5,2022-01-05 23:34:19+00:00,"@nytimes So, anyone think that the prime instigator that got the protesters riled is Russia playing their usual cloak and daggers?\nI know the KZ Gov is very much a Yes-Man when it comes for their former Soviet overlord.\nWouldn't put it pass that Putin would love some of that oil in KZ.",en,mhurgle
6,2022-01-05 23:30:53+00:00,@nytimes No Russia! 😠,en,paulita72
7,2022-01-05 23:26:08+00:00,@nytimes Perhaps this will distract Putin from Ukraine. Perhaps that is the point.,en,dontsspndmebro
8,2022-01-05 23:22:59+00:00,"@nytimes Good for Russia! Their help is being provided at the behest of Kazakhstan’s President, so naturally the editors at the NYT, the faithful stenographers for the US State Dept, will try to frame this as Bad™ .",en,bidetmarxman
9,2022-01-05 23:17:36+00:00,"@nytimes This will make the whole Ukraine agenda even more palpitating!!! What an interesting turn in events, quite a long game this should be!",en,JulianOancea
10,2022-01-05 23:16:14+00:00,"@nytimes well don russia, all knows the ""diplomacy"" lenguage thru simbolism...hahaha",en,fabmora1
11,2022-01-05 23:11:56+00:00,@nytimes I am from Russia and am against the introduction of troops into Kazakhstan.,en,Wzombie47
12,2022-01-05 11:36:36+00:00,@nytimes This remark will cost him the election like the deplorables remark of Hillary Clinton cost her the election….\n\nAnd don’t blame Russia…,en,ZarathustraTwe1
13,2022-01-05 07:07:18+00:00,"@nytimes They've got issues with ""White Russia"", but sometimes -I wonder whether you couldn't just class them a little below Iran, and go from there.\n  Extortion is not a product.,\n   So why the Fk should anyone care??  I don't.\n-Maybe for Ukraine, but not those freaks.",en,ii_nason
14,2022-01-05 02:22:29+00:00,"@nytimes nancy  pelosi   /  we will pass the law , then find out   what is in it   ;      trump   i grab   by the  p===y   ;    &amp;  we are talking   going to war  with  russia  , china  ,  noko",en,monkeysfly51
15,2022-01-05 02:20:06+00:00,"@nytimes seeing we can't defend  the capital , keep  i95 open ,    why are  we talking war      with  russia  , china  ,  noko",en,monkeysfly51
0,2022-01-06 22:40:04+00:00,@nytimes Peasekeeping in Russia means shooting civillians. Just like in Belarus.,en,Kooijmania
1,2022-01-06 22:27:05+00:00,"@nytimes Crisis created by the west, just like Belarus, like Ukraine, like Georgia. Mad coincidence that all Russia neighbours are having trouble.",en,Eddie_v3
2,2022-01-06 19:44:39+00:00,@nytimes On the other hand the Russia  and other lies lies for four years were as American as apple pie since they were against a Republican.,en,ibastasic
3,2022-01-06 19:42:21+00:00,@nytimes i understand       usa   can't handle     550  un armed    .....                        so  why  is  biden   /   the    generals  ....     talking  war  with   russia,en,monkeysfly51
4,2022-01-06 18:27:10+00:00,"@nytimes Trump was convinced he lost because of voter fraud but Democrats knew there was no Russia Collusion, they invented that lie, but still they ""railed against the election results"" in 2016. Trump did tell his supporters to make their voices heard ""peacefully and patriotically""",en,PaulHPNC
5,2022-01-06 17:28:38+00:00,"@nytimes You omit the key factor that Trump indicated that it should be peaceful.\n\nThis will end up like the Russia hoax and the Ukraine call, with Dems caught up committing crimes to incriminate Trump.",en,FABERGANZA
6,2022-01-06 17:19:43+00:00,@nytimes Russia sending in its bikie gangs to create another excuse for reclaiming a lost empire?,en,MarkSmithAus
7,2022-01-06 14:59:51+00:00,@nytimes What is Putin going to do next ? send his forces into Ukraine on a peace keeping mission ? Plant his own rioters there to justify it as he did in East Ukraine,en,Pace1013
8,2022-01-06 14:18:53+00:00,"@nytimes Why don't Russia help by giving them cheap gas. That's what the people need, not a military invasion.",en,tonymarymc
9,2022-01-06 13:46:07+00:00,"@nytimes Russia is invading Khazakstan and it is helped by its slaves - Belarus, Armenia and so on!",en,RaluMih
10,2022-01-06 13:33:57+00:00,"@nytimes The government in Kazakhstan needs to listen to the people and enact reforms so that the people can benefit from the resources there. Russia shouldn’t be sending a so called small security force because they can’t be trusted, and the United States needs to support the people.",en,RobinByrd3
11,2022-01-06 13:28:09+00:00,@nytimes Looks like Russia is moving back in there.  Ukraine was a decoy.\nRussian minority in Kazakhstan has been discriminated against following independence.,en,JimMBuzz
12,2022-01-06 13:17:39+00:00,@nytimes Isn't it Russia that supplies them with their fuel? If so then Russia planed all thus just to get there troops more inside the country to control more land.,en,roketsols
13,2022-01-06 12:48:29+00:00,"@nytimes Russia ""restoring order"" means Putin's ogres attacking innocent civilians in a foreign country.\nCall a spade a spade.\nThe world is once again a passive observer. When will Putin be stopped? How many innocents have to suffer cause of his megalomania?\n#StopAppeasingPutin",en,ThisThornyRose
14,2022-01-06 11:55:27+00:00,@nytimes Hasn’t Russia sent troops there as well?,en,jfetzenrausch
15,2022-01-06 11:06:51+00:00,@nytimes remember: he called these events in Ukraine «The Revolution of Dignity». we have dignity too. #happyj6day #wasswa https://t.co/vdtBsxjomj,en,jay_sixth
16,2022-01-06 09:59:52+00:00,"@nytimes This is Hungary 1954, Czechoslovakia 1968.\n\nThis is the moment that will define what happens when there's a popular revolt in Putin's grim &amp; brutal new empire. \n\n@nytimes calls it a ""peacekeeping effort, organized by Russia’s version of NATO.""\n\nWhen did NATO do this?",en,mgubrud
17,2022-01-06 09:32:56+00:00,"@nytimes Another one ""Russian green people"" operation. Like Krym and Ukraine. Of course, under request of official Kazakhstan President. And World will buy this story again.",en,PolskaNowaDroga
18,2022-01-06 08:16:02+00:00,"@nytimes Mismanaged undemocratic former USSR republics in Asia Putin will pull back into the Russian Federation, modest catches compared to Ukraine.",en,bcwestmind
19,2022-01-06 06:20:17+00:00,@nytimes And we all know what Russias peacekeeping looks like we only have to look at what happened in Ukraine,en,DavidCo53270218
20,2022-01-06 05:13:18+00:00,@nytimes Peace keeping and Russia = oxymoron,en,jvgucla
21,2022-01-06 05:01:52+00:00,@nytimes Who gonna win? Exxon&amp;Chevron or Russia Putin?,en,williamat11
22,2022-01-06 02:48:32+00:00,"@nytimes Lets just say it how it is Russia is just ""Helping Russian citizens in the area"" also meaning taking  control of land that doesn't belong another Crimea",en,LxiuInsainLoop
23,2022-01-06 01:20:08+00:00,@nytimes Russia and peacekeeping are two words that do not belong in the same sentence.,en,DanielAFee1
24,2022-01-06 00:48:43+00:00,@nytimes Better headline: Russia sends in troops to suppress protests against their own military build-up,en,chimpvsdog
25,2022-01-06 00:47:12+00:00,@nytimes LOL. Russia is so old school.,en,foomper
26,2022-01-06 00:45:31+00:00,@nytimes The people of Kazakhstan have had enough of a small group creaming off the country's resources and wealth for themselves and Russia sends in troops for  'peacekeeping'.,en,polhoff
27,2022-01-06 00:43:20+00:00,"@nytimes Really disgusting to see westerners here who would call themselves 'liberal' or 'democratic' support pan-Turkist fascism, as long as it is anti-Russian they support it. It doesn't matter how many millions of innocents, be they Armenians or whoever die as long as Russia gets hurt.",en,koalafied2koala
28,2022-01-06 00:37:09+00:00,@nytimes @HughJaeger Russia playing whack-a-mole with its ex-colonies.,en,PaulTatum4
