"","X","Date","text"
"124",123,"2022-04-29 02:41:29+00:00","‘DEPARTMENT OF PROPAGANDA’: @TulsiGabbard says ‘ministry of truth’ creation is just another example of DC elites running the show, not the president. https://t.co/tXkbLLpCqL"
"125",124,"2022-04-29 02:33:42+00:00","Elon Musk sells $4B in Tesla stock, announces no further sales planned https://t.co/PiBjLogJjj"
"126",125,"2022-04-29 02:25:40+00:00","Assaults, fires, roach infestations in San Francisco's hotels for homeless program revealed https://t.co/07aY36OxeX"
"127",126,"2022-04-29 02:12:41+00:00","Sarah Huckabee Sanders: Everything Biden and Harris touch is ruined https://t.co/pZADAUM0Sk"
"128",127,"2022-04-29 01:58:09+00:00","Putin looking at US because of its past actions that 'led to' Ukraine invasion: Rove https://t.co/W9jnwkgxwK"
"129",128,"2022-04-29 01:53:26+00:00","POLICING SPEECH: @TuckerCarlson accuses Biden admin of creating 'ministry of truth' to violate First Amendment. https://t.co/7jOhR1bjd6"
"130",129,"2022-04-29 01:49:01+00:00","Maryland state troopers hospitalized after suspected impaired driver strikes police vehicle https://t.co/kEfx50UY0I"
"131",130,"2022-04-29 01:42:10+00:00","‘Schitt’s Creek’ to move from Netflix to Hulu after Disney streamer takes over rights https://t.co/XPodIMGop4"
"132",131,"2022-04-29 01:33:30+00:00","MSNBC's Lawrence O'Donnell condemns the Senate as a 'permanently anti-democratic institution' https://t.co/t9cfBy4Gga"
"133",132,"2022-04-29 01:29:07+00:00","NPR argues economy is 'sturdier than it looks' amid shrinking report https://t.co/JbBd2k29P8"
"134",133,"2022-04-29 01:17:03+00:00","California socialite accused of running over and killing two children appears in court https://t.co/x2vKxAJvxW"
"135",134,"2022-04-29 01:16:11+00:00","GAFFER-IN-CHIEF: The president's comments about Russia left many scratching their heads. https://t.co/uKH4djQwxG https://t.co/uYuE0zOt0F"
"136",135,"2022-04-29 01:01:11+00:00","LIVE UPDATES: Walker goes No. 1 and Hutchinson follows as No. 2 at NFL Draft https://t.co/ctiAwO4LP9 https://t.co/Fggc3bGpqd"
"137",136,"2022-04-29 00:56:48+00:00","Dwayne Haskins honored at NFL Draft with moment of silence https://t.co/atLOiqwsME"
"138",137,"2022-04-29 00:43:22+00:00","Family of Los Angeles woman killed by teen speeding in Lamborghini wins $18.85 million lawsuit https://t.co/p3S2renTsL"
"139",138,"2022-04-29 00:34:24+00:00","Christina Haack’s ex Ant Anstead files for full custody of their 2-year-old son, criticizes her parenting https://t.co/d6T4Jbysiw"
"140",139,"2022-04-29 00:29:03+00:00","Jeanine Pirro rips new DHS 'disinfo board': Quicker than Ukraine got weapons, more organized than Afghan exit https://t.co/pktjtSXgOC"
"141",140,"2022-04-29 00:22:44+00:00","NFL Draft 2022: Jaguars select defensive lineman Travon Walker https://t.co/go2so1Hpb7"
"142",141,"2022-04-29 00:16:48+00:00","Arkansas attorney general files lawsuit against Family Dollar after rodent infestation detected at facility https://t.co/MP9bOmJavT"
"143",142,"2022-04-29 00:13:21+00:00","‘SHADOW ON EARTH’: The first solar eclipse of the year is just days away – here’s where to watch it. https://t.co/NHryXY620q https://t.co/0nECRw3tV8"
"144",143,"2022-04-29 00:10:25+00:00","LIVE UPDATES: NFL Draft 2022 opens with Jaguars’ selection https://t.co/pVW9cjkfkC https://t.co/OusSGlP5R1"
"145",144,"2022-04-29 00:00:43+00:00","California woman charged in baby abduction was 'obsessed' with child after meeting grandma at church: report https://t.co/XjaQwu4SJx"
"146",145,"2022-04-28 23:53:34+00:00","Phoenix PD release body cam footage showing female officer shot during ambush https://t.co/HwRxxLuGgE"
"147",146,"2022-04-28 23:47:33+00:00","Washington Post columnist: Would the Left be ‘freaking out’ over Musk if Twitter was ‘really so evenhanded'? https://t.co/ob2YD4GfYx"
